sentence1	sentence2	similarity_score
That is the spirit in which the European Constitution must be written.	That is the spirit in which must be developed the European Constitution.	4.75
Some results are remarkable.	Some results are remarkable.	5
This is a clear if implicit repudiation of Mubarak, the sole ruler for 24 years.	It has been an implicit but clear repudiation of Mubarak, only Head of State for 24 years.	4.75
But from the American point of view, the international role of the dollar was a trap.	But the US point of view, the international role of the dollar was a trap.	5
The old version of the European response--what psychologists might call "dollar envy"--will only become more acute.	The former version of the European reaction (the desire called "the desire of the") ”.  	4
Pro-market economists don't object to corporations that blatantly use snob appeal to promote their products.	The economists pro-market do not oppose the companies which openly use the attraction of the luxury to promote their products.	4.75
Ahmadinejad is embarking on an adventure; Bernanke is not.	Ahmadinejad are embarking on an adventure, not bernanke.	5
More than that, the divisions are reproduced at the local level.	Beyond the geographical division, at local level.  	3.75
Indeed, intolerance goes right to the top of the Turkish government.	It is undeniable that intolerance reached summits of the Turkish Government.	4.75
The Political Stock Market	The politization of the markets of the transferable securities	2.25
Iraq's future depends directly on the fate of Iraqi oil production.	The future of Iraq is linked to oil production.	5
This tendency extends deeper than headscarves.	This trend goes well beyond simple scarves.	4.5
Indeed, intolerance goes right to the top of the Turkish government.	It is undeniable that intolerance reached until the heights of the Turkish Government.	4.5
Indeed, the French philosopher Marcel Gauchet entitled a recent book Democracy Against Itself.	We can also note that the French philosopher, Marcel Gauchet has called one of these recent books Democracy against itself.	4.667
Being a Muslim and being an Islamist are not the same thing.	To be Muslim and Islamic are two different things.	5
In other areas, sharia law is being introduced by force.	In other regions, the sharia is imposed.	4.25
Indeed, the French philosopher Marcel Gauchet entitled a recent book Democracy Against Itself.	One can also note that the French philosopher Marcel Gauchet entitled one of these recent books the democracy against itself.	4.667
Iraq's future depends directly on the fate of Iraqi oil production.	The future of Iraq is linked to the oil production.	5
In other areas, sharia law is being introduced by force.	In other regions, the Sharia is imposed.	4.75
What we are witnessing today is a shift from a Muslim identity to an Islamist identity.	We are witnessing today to change a Muslim identity for an Islamic identity.	5
